left_bsz,left_step_time,left_gpu_memory,right_bsz,right_step_time,right_gpu_memory
24,0.5943856911781507,12.952784538269043,28,0.6382014140104636,15.00428295135498
12,0.3139402682964618,6.7916975021362305,24,0.44045861562093097,12.951685905456543
6,0.16672386267246345,3.717135429382324,16,0.27195114967150563,8.849177360534668
16,0.40154294478587615,8.849177360534668,24,0.48568101418324006,12.951685905456543
20,0.48359564634469837,10.900187492370605,20,0.4828171913440411,10.900187492370605
6,0.1684840520222982,3.717135429382324,28,0.4001940947312575,15.00428295135498
8,0.21387696877504006,4.748255729675293,12,0.2573673602862236,6.7916975021362305
16,0.4121943987332858,8.849177360534668,16,0.4133138045286521,8.849177360534668
12,0.3069235789470183,6.7916975021362305,20,0.387038053610386,10.900187492370605
16,0.4074010787866054,8.849177360534668,28,0.5347415178250043,15.00428295135498
8,0.2041928340227176,4.748255729675293,8,0.20430173018039802,4.748255729675293
8,0.2146739959716797,4.748255729675293,20,0.339152183288183,10.900187492370605
12,0.3142590217101268,6.7916975021362305,12,0.3144802619249393,6.7916975021362305
24,0.5776049907390888,12.951685905456543,24,0.5776211115030142,12.951685905456543
8,0.21786800408974671,4.748255729675293,24,0.38713347606169873,12.951685905456543
6,0.15423978292025053,3.717135429382324,6,0.15174647477956918,3.717135429382324
20,0.49072074278807026,10.900187492370605,28,0.5819394710736397,15.00428295135498
6,0.1690949721214099,3.717135429382324,20,0.31282896261948806,10.900187492370605
6,0.16726763431842512,3.717135429382324,12,0.23050697644551596,6.7916975021362305
16,0.3986849356920291,8.849177360534668,20,0.4378479138398782,10.900187492370605
12,0.3099871782156137,6.7916975021362305,16,0.3500624742263403,8.849177360534668
20,0.49082620938618976,10.900187492370605,24,0.5296320242759509,12.951685905456543
8,0.2159144022525885,4.748255729675293,28,0.4293244312971066,15.00428295135498
8,0.214419621687669,4.748255729675293,16,0.3000603578029535,8.849177360534668
12,0.312729279200236,6.7916975021362305,28,0.4832863685412285,15.00428295135498
