placement,local_bsz,step_time,sync_time
1,2,0.0537315817606743,3.1211926099228293e-10
1,4,0.08182034595376592,2.855556069381038e-10
1,6,0.10963047093266585,2.682785105179164e-10
1,8,0.13833431504046179,2.5567409300819577e-10
1,12,0.1939499406251927,2.3786328462449546e-10
1,16,0.2513461770959575,2.254220143882435e-10
1,20,0.3067006326652419,2.1597812427387453e-10
1,24,0.36107729542218164,2.0842999548520424e-10
1,28,0.4193113261861696,2.0218088314649663e-10
1,32,0.4738856957078474,1.9687312891036868e-10
1,36,0.5318471496576017,1.9227630598805945e-10
1,40,0.5844738719434477,1.8823376191079433e-10
1,48,0.6970106998863703,1.8139711954745508e-10
1,52,0.7581135972699136,1.784603576027166e-10
11,2,0.06494149157834422,0.011468659903521694
11,4,0.09261003136243975,0.010577424953206696
11,6,0.11950362112302636,0.009975425709898803
11,8,0.1476017613104345,0.0095275830438743
11,12,0.20328453084877543,0.00888497264774521
11,16,0.2586111868180197,0.008430757498081476
11,20,0.31376139941477516,0.008083682155372862
11,24,0.36917304837452475,0.00780511430304659
11,28,0.4241584134605115,0.00757382366181375
11,32,0.4811477566942669,0.007376962553702682
11,36,0.5388883302155978,0.00720619944320422
11,40,0.5966596963757945,0.007055842096924891
11,48,0.7087064352720084,0.0068012121099001455
11,52,0.7641457008102437,0.006691708922803907
111,2,0.06981594539520304,0.015964652338416152
111,4,0.09664467448530474,0.014763966992871858
111,6,0.12343860955074855,0.01394266715456953
111,8,0.15180668029329966,0.013327454946772288
111,12,0.20679782262839,0.012439708799733412
111,16,0.2621154691075506,0.011809433705310235
111,20,0.3163808136346945,0.01132660597637175
111,24,0.3731726032123207,0.010938451323904197
111,28,0.4290195646509712,0.010615810165029438
111,32,0.4868252673263422,0.010340971633514606
111,36,0.5412127852353633,0.010102420215421848
111,40,0.596178471322935,0.009892272743948993
111,48,0.712200055595545,0.009536195156545246
111,52,0.761832017478403,0.009382998032634204
1111,2,0.07422805717529296,0.02063510250611994
1111,4,0.10039240594357582,0.01913277271966242
1111,6,0.12819208086500627,0.018092726833023806
1111,8,0.15582069450033548,0.01730837397948526
1111,12,0.2097135177355243,0.01617018119178576
1111,16,0.26645758232839056,0.015358456237974993
1111,20,0.320357751204756,0.014735013374101269
1111,24,0.3782120337769571,0.014232976385962104
1111,28,0.43348718528216973,0.013815189035257691
1111,32,0.48966343166611387,0.013458998496999941
1111,36,0.5413855713664072,0.013149635984672559
1111,40,0.602653342180198,0.012876970513027497
1111,48,0.7133121172913672,0.012414699874265689
1111,52,0.766143176302335,0.012215724472202871
1112,2,0.07935005400487909,0.025439047260460354
1112,4,0.10513656551508466,0.023645248567316965
1112,6,0.13267451086691032,0.022389246160879214
1112,8,0.15868222081513983,0.021435794889529236
1112,12,0.21448614675001948,0.020044511692842992
1112,16,0.26930508056386904,0.019047815233594945
1112,20,0.32326053518706893,0.018280294709690614
1112,24,0.3791119702186922,0.01766118299167535
1112,28,0.43359469841630155,0.017145355178155353
1112,32,0.49126766889517826,0.01670519506425927
