local_bsz,gpu_memory
6,3.7181124687194824
8,4.753016948699951
12,6.796092510223389
16,8.853938579559326
20,10.902629375457764
24,12.956202983856201
28,15.011241436004639
32,17.065181255340576
36,19.110454082489014
40,21.16622495651245
48,25.272151470184326
52,27.325603008270264
56,29.3722186088562
60,31.42188596725464
64,33.480098247528076
68,35.53391647338867
72,37.57638168334961
76,39.63288497924805
