local_bsz,gpu_memory
6,10.33829402923584
8,13.112821102142334
12,18.71263027191162
16,24.31420660018921
20,29.926366329193115
24,35.52974462509155
28,41.12653112411499
32,46.71697759628296
36,52.332677364349365
40,57.9386191368103
48,69.15685033798218
52,74.73175716400146
