num_nodes,num_replicas,local_bsz,step_time,sync_time
6,6,2,0.08410186010099326,0.030348828508289682
6,6,4,0.11380661701637775,0.02827475801021745
6,6,6,0.13275485115629906,0.026806917045137005
6,6,8,0.1702267811838554,0.02568558497241319
6,6,12,0.2117967776596279,0.024040381748921924
6,6,16,0.2806198539232132,0.022856496997173015
6,6,20,0.33165032426060487,0.02194242368396987
6,6,24,0.3934376925125633,0.021203825576066926
6,6,28,0.453501753704724,0.02058770172794483
6,6,32,0.5181218648887543,0.020061490891650102
6,6,36,0.5309855798982065,0.01960384576608587
6,6,40,0.5808129417328708,0.019200060697255883
6,6,48,0.7483058404620307,0.018514683523462527
6,6,52,0.7428459412203763,0.0182193959153496
8,8,2,0.09011795791945364,0.04041196529433033
8,8,4,0.12441093084327078,0.03781169179921791
8,8,6,0.14428529144204483,0.03593533823727639
8,8,8,0.17262176718819225,0.03448478006815303
8,8,12,0.2333275605447208,0.032334049254119895
8,8,16,0.282949885879355,0.030772740229831896
8,8,20,0.3320736592133167,0.02956090852344212
8,8,24,0.37780036072574047,0.028578311605185702
8,8,28,0.468440399306066,0.02775664237237091
8,8,32,0.4981042473324048,0.027053611950916878
8,8,36,0.5525385054031665,0.026441338472803833
8,8,40,0.6035706042159049,0.02590053175637863
8,8,48,0.7127689403492642,0.02498144868572194
8,8,52,0.741600337918872,0.02458507928373732
12,12,2,0.11412870992158253,0.06120314891291255
12,12,4,0.13329409203966208,0.05767848909434348
12,12,6,0.1578671344547679,0.0550519024531594
12,12,8,0.19955532923192865,0.05297867733328124
12,12,12,0.23636388748727818,0.04984506985195297
12,12,16,0.30788606464372986,0.04753218837523093
12,12,20,0.3371533386751808,0.04571856111308309
12,12,24,0.42038179689781824,0.04423786048751338
12,12,28,0.448044896673715,0.042993570983482776
12,12,32,0.512191691559306,0.04192503168482725
12,12,36,0.5479484951427123,0.040991796027584404
12,12,40,0.6057270717464628,0.04016563749781188
12,12,48,0.706361803132158,0.03875804525729809
12,12,52,0.7655154339655089,0.038149752177385254
16,16,2,0.1353496003194707,0.08255351817501574
16,16,4,0.16063741759373934,0.07824778717783745
16,16,6,0.18004822902238696,0.07495701612541726
16,16,8,0.20449595999694387,0.07231419127747998
16,16,12,0.25099286817016087,0.0682519119262382
16,16,16,0.32671914690179193,0.06520797549218621
16,16,20,0.36333172731595026,0.06279796124455911
16,16,24,0.42905543628810405,0.06081724293158852
16,16,28,0.46612303408404965,0.05914472547867777
16,16,32,0.5370242029554195,0.05770320165420778
16,16,36,0.5664509719697137,0.05644063034128344
16,16,40,0.6249624971419157,0.05532038386449667
16,16,48,0.745295972102372,0.05340679932438519
16,16,52,0.8265606658819142,0.0525781032073761
16,20,2,0.1632528956272043,0.10425566461019223
16,20,4,0.1791680001778938,0.09928127474336773
16,20,6,0.19791899745181932,0.09540165475150388
16,20,8,0.22100821635829548,0.09224045626728722
16,20,12,0.2776505713268794,0.08730960407108712
16,20,16,0.3420899656096054,0.0835641900693142
16,20,20,0.38598271898524406,0.08057203981428751
16,20,24,0.4465273863314118,0.07809729951015093
16,20,28,0.5008733792487154,0.07599787437459338
16,20,32,0.5295366815517186,0.07418194897037395
16,20,36,0.5743443913205972,0.07258699365200971
16,20,40,0.6670795825927502,0.07116863733282863
16,20,48,0.7930468619194442,0.0687395619445208
16,20,52,0.8274072209317861,0.06768540306510762
12,14,2,0.12443783645323349,0.07182460271800337
12,14,4,0.14315425462854134,0.06789357205313365
12,14,6,0.1667292076739354,0.06492473498494532
12,14,8,0.19146587105702995,0.0625600675977655
12,14,12,0.2529101523576261,0.05895473906379034
12,14,16,0.3128011387092645,0.056273010639413035
12,14,20,0.3460330585848017,0.054159817393785614
12,14,24,0.41587730762621333,0.0524287404759754
12,14,28,0.4562108815670294,0.05097051452272694
12,14,32,0.5445777907172569,0.049715963976145694
12,14,36,0.574360045384124,0.04861871112004745
12,14,40,0.6515711807127919,0.04764625151935231
12,14,48,0.7194888571451766,0.045987259614300724
12,14,52,0.8171880861326772,0.04526957340233184
12,16,2,0.1396637887171646,0.08255351817501574
12,16,4,0.15924973920762722,0.07824778717783745
12,16,6,0.18878462361362863,0.07495701612541726
12,16,8,0.21101873834810925,0.07231419127747998
12,16,12,0.27175477365499945,0.0682519119262382
12,16,16,0.329353149268883,0.06520797549218621
12,16,20,0.3836034402177691,0.06279796124455911
12,16,24,0.43067331295636324,0.06081724293158852
12,16,28,0.47954218792838477,0.05914472547867777
12,16,32,0.5283186076059012,0.05770320165420778
12,16,36,0.6134570426964857,0.05644063034128344
12,16,40,0.6715915510581238,0.05532038386449667
12,16,48,0.7663508732207668,0.05340679932438519
12,16,52,0.8177429649335444,0.0525781032073761
16,24,2,0.18008813115075645,0.12619788611230107
16,24,4,0.19689746383471443,0.1206431316550245
16,24,6,0.22829487044522087,0.11623846462424646
16,24,8,0.24683472994411493,0.11260519645238906
16,24,12,0.3005995386641326,0.10686486042382831
16,24,16,0.3671467785463013,0.10245084368024149
16,24,20,0.3849959426124835,0.09889514098433982
16,24,24,0.4785569943960085,0.09593671847415458
16,24,28,0.5138514908414757,0.0934157483491107
16,24,32,0.5673206102880579,0.09122767213022215
16,24,36,0.609940197994461,0.08930058706167299
16,24,40,0.6797911677853988,0.0875830716847601
16,24,48,0.7835956235670547,0.08463412210852739
16,24,52,0.871381061553641,0.08335165523494026
8,10,2,0.10033320183735678,0.05071822177168436
8,10,4,0.12473618534121828,0.0476357087776709
8,10,6,0.15326028690613952,0.04537300521988326
8,10,8,0.17793163873398274,0.04360463477870799
