left_bsz,left_step_time,left_gpu_memory,right_bsz,right_step_time,right_gpu_memory
24,0.12785935401916504,2.7885212898254395,80,0.2997170411623441,8.081895351409912
64,0.3100738464257656,6.557590484619141,80,0.35816254371251816,8.081895351409912
72,0.34603170248178333,7.317758560180664,96,0.41611359058282316,9.596468925476074
72,0.3489819979056334,7.317758560180664,72,0.34630618339929825,7.317758560180664
24,0.1279437052897918,2.7885212898254395,96,0.34805078384203786,9.596468925476074
48,0.2373976768591465,5.05622673034668,80,0.3373264166025015,8.081895351409912
32,0.168121154491718,3.5324745178222656,72,0.2912448369539701,7.317758560180664
48,0.2320559330475636,5.05622673034668,64,0.2812740008036296,6.557590484619141
24,0.12656765717726487,2.7885212898254395,32,0.15131325599474785,3.5324745178222656
16,0.08883471978016388,2.0203399658203125,40,0.16623497009277344,4.316275596618652
24,0.1256703230050894,2.7885212898254395,40,0.1772619638687525,4.316275596618652
40,0.20229532168461725,4.316275596618652,96,0.3697993205143855,9.596468925476074
24,0.12962698936462402,2.7885212898254395,56,0.22977219483791253,5.824285507202148
8,0.056601487673245944,1.2559657096862793,32,0.1275476064437475,3.5324745178222656
24,0.12714005127931252,2.7885212898254395,64,0.24777954663985816,6.557590484619141
56,0.282071162492801,5.824285507202148,64,0.30417952170738805,6.557590484619141
80,0.3965411247351231,8.081895351409912,128,0.548325715920864,12.615992069244385
16,0.08476427273872571,2.0203399658203125,72,0.26344949771196413,7.317758560180664
40,0.2010804567581568,4.316275596618652,56,0.2502759664486616,5.824285507202148
48,0.23726274416996881,5.05622673034668,56,0.264098204099215,5.824285507202148
40,0.21023956934611002,4.316275596618652,88,0.3561650789701022,8.847673416137695
128,0.5767057736714681,12.615992069244385,128,0.578852158326369,12.615992069244385
64,0.31374010061606383,6.557590484619141,88,0.39121166253701234,8.847673416137695
56,0.3961010223779923,5.824285507202148,56,0.3962244926354824,5.824285507202148
56,0.2733552089104286,5.824285507202148,96,0.3956613724048321,9.596468925476074
16,0.09132616336529072,2.0203399658203125,88,0.31806506254734135,8.847673416137695
8,0.05245579817356207,1.2559657096862793,56,0.2003792188106439,5.824285507202148
72,0.34679266122671276,7.317758560180664,88,0.3960150266304994,8.847673416137695
48,0.23573938394204164,5.05622673034668,72,0.31143892728365385,7.317758560180664
8,0.053171683580447465,1.2559657096862793,72,0.252447458413931,7.317758560180664
16,0.08917134847396459,2.0203399658203125,56,0.21524878648611215,5.824285507202148
16,0.08934820615328275,2.0203399658203125,32,0.141112241989527,3.5324745178222656
40,0.247358792867416,4.316275596618652,40,0.24341913369985727,4.316275596618652
8,0.05538299756172376,1.2559657096862793,48,0.17617244598193046,5.05622673034668
56,0.26665332989814955,5.824285507202148,72,0.31602761684319913,7.317758560180664
72,0.36717873964554226,7.317758560180664,80,0.3920007118811974,8.081895351409912
48,0.23061991960574418,5.05622673034668,88,0.36017504716530824,8.847673416137695
16,0.09080215600820687,2.0203399658203125,80,0.2888895792838855,8.081895351409912
48,0.2975611992371388,5.05622673034668,48,0.2989780047000983,5.05622673034668
32,0.16743414218609148,3.5324745178222656,56,0.24083673648345164,5.824285507202148
8,0.05377018146025829,1.2559657096862793,64,0.22345959834563425,6.557590484619141
8,0.05383956738007374,1.2559657096862793,88,0.3014247111785106,8.847673416137695
16,0.07954516166295761,2.0203399658203125,16,0.07939890714792106,2.0203399658203125
32,0.1671147224230644,3.5324745178222656,88,0.33774692584306765,8.847673416137695
48,0.23657527336707482,5.05622673034668,128,0.48643007033910507,12.615992069244385
56,0.2755443438505515,5.824285507202148,80,0.35015417367984086,8.081895351409912
88,0.4276164678426889,8.847673416137695,96,0.45140171662355083,9.596468925476074
88,0.41480004481780225,8.847673416137695,88,0.4126392694619986,8.847673416137695
64,0.30504346505189556,6.557590484619141,96,0.40669894218444824,9.596468925476074
64,0.3317137436989026,6.557590484619141,128,0.5250043013156989,12.615992069244385
24,0.12565802305172652,2.7885212898254395,88,0.3233054112165402,8.847673416137695
64,0.3083342099801088,6.557590484619141,72,0.3359839121500651,7.317758560180664
32,0.17189796765645346,3.5324745178222656,80,0.31694671435233873,8.081895351409912
40,0.2050320490812644,4.316275596618652,72,0.30362714865268803,7.317758560180664
96,0.45949301964197403,9.596468925476074,128,0.5590406747964712,12.615992069244385
24,0.1681807958162748,2.7885212898254395,24,0.1675750842461219,2.7885212898254395
64,0.40685288722698504,6.557590484619141,64,0.40475847170903134,6.557590484619141
80,0.39081976963923526,8.081895351409912,88,0.42142224311828613,8.847673416137695
32,0.12760442953843337,3.5324745178222656,32,0.12798560582674468,3.5324745178222656
32,0.17311661060039812,3.5324745178222656,96,0.36643417676289874,9.596468925476074
32,0.1672527973468487,3.5324745178222656,48,0.2139567350729918,5.05622673034668
8,0.055082253920726285,1.2559657096862793,96,0.32680277335338104,9.596468925476074
40,0.2378355845426902,4.316275596618652,80,0.3558965524037679,8.081895351409912
8,0.05128658123505421,1.2559657096862793,8,0.0513912286513891,1.2559657096862793
40,0.20225398357097918,4.316275596618652,64,0.2753912730094714,6.557590484619141
16,0.08977487759712414,2.0203399658203125,128,0.44332408293699604,12.615992069244385
8,0.05537247657775879,1.2559657096862793,40,0.15361560308016264,4.316275596618652
32,0.16480626815404648,3.5324745178222656,64,0.2621150811513265,6.557590484619141
56,0.27714188893636066,5.824285507202148,88,0.377104734763121,8.847673416137695
32,0.1638311789585994,3.5324745178222656,40,0.1887985804142096,4.316275596618652
8,0.05621197284796299,1.2559657096862793,24,0.10281007106487568,2.7885212898254395
48,0.2320825381156726,5.05622673034668,96,0.3821734709617419,9.596468925476074
96,0.566504160563151,9.596468925476074,96,0.568974678332989,9.596468925476074
16,0.08922315866519244,2.0203399658203125,64,0.2372254652854724,6.557590484619141
16,0.08627626834771572,2.0203399658203125,24,0.11384065945943196,2.7885212898254395
80,0.37764573097229004,8.081895351409912,96,0.42808494201073277,9.596468925476074
24,0.12468476173205253,2.7885212898254395,128,0.45065945845383865,12.615992069244385
40,0.1744250884422889,4.316275596618652,128,0.4456965434245574,12.615992069244385
40,0.20720272186474922,4.316275596618652,48,0.2294782247298803,5.05622673034668
32,0.15802461673051882,3.5324745178222656,128,0.454067010145921,12.615992069244385
16,0.0857849854689378,2.0203399658203125,96,0.3338346725855118,9.596468925476074
56,0.2852713144742526,5.824285507202148,128,0.5026303315773989,12.615992069244385
8,0.05591451204740084,1.2559657096862793,128,0.424256777152037,12.615992069244385
72,0.3558037953499036,7.317758560180664,128,0.522674743945782,12.615992069244385
88,0.4115576499547714,8.847673416137695,128,0.5344458115406525,12.615992069244385
8,0.0553436034764999,1.2559657096862793,80,0.28809536420381987,8.081895351409912
24,0.13550780369685247,2.7885212898254395,48,0.20952962606381148,5.05622673034668
24,0.1293021960136218,2.7885212898254395,72,0.2787055480174529,7.317758560180664
8,0.05381214924347706,1.2559657096862793,16,0.07509556794777894,2.0203399658203125
80,0.3005523926172501,8.081895351409912,80,0.2991512249677609,8.081895351409912
16,0.09114149900583121,2.0203399658203125,48,0.19124588599571815,5.05622673034668
