num_nodes,num_replicas,local_bsz,step_time,sync_time
6,6,2,0.11381083111332002,0.022677397270603472
6,6,4,0.17610410004292687,0.02058314015071061
6,6,6,0.24328396326859275,0.019254062660995636
6,6,8,0.30706434496270785,0.01829817309541748
6,6,12,0.4357616440572507,0.016964260332082426
6,6,16,0.5184596257168306,0.016042504813997382
6,6,20,0.6652715517984016,0.015347537289407742
8,8,2,0.11949932760337645,0.02672918263345983
8,8,4,0.1783294542463693,0.024300169887966044
8,8,6,0.24290496223429378,0.02274757020940607
8,8,8,0.2897850681646989,0.021626941644123487
8,8,12,0.43803093851241687,0.020058886874654236
8,8,16,0.5273840500083108,0.01897310751579928
8,8,20,0.6280755856687981,0.018153548107512907
12,12,2,0.12748945897871308,0.035072913592061744
12,12,4,0.19160252779099574,0.03198625369059105
12,12,6,0.2385450071475757,0.029985775617347388
12,12,8,0.2978035627519465,0.02853166867819551
12,12,12,0.43997936429742,0.02648584830121814
12,12,16,0.5522976272605385,0.025063330403711004
12,12,20,0.6669015902015507,0.023987117047354678
16,16,2,0.13783503932682634,0.04367221396873411
16,16,4,0.19047645646436343,0.03994843469250753
16,16,6,0.24635256007509812,0.037503101070155365
16,16,8,0.29664799057568947,0.03571334372921009
16,16,12,0.4363960488626213,0.033181542161036526
16,16,16,0.5550649376597505,0.03141368692315716
16,16,20,0.6530317306605069,0.03007305800118365
16,20,2,0.14129636123321912,0.05247220650068163
16,20,4,0.1930425576320909,0.04813471085884627
16,20,6,0.2688972901106487,0.04525079843857721
16,20,8,0.33420952411475363,0.04312587039808241
16,20,12,0.43177079533866264,0.04010370766285648
16,20,16,0.5814524380418142,0.03798454841931953
16,20,20,0.6529556252562675,0.03637368760379711
12,14,2,0.12824500280851547,0.039344524425729804
12,14,4,0.1982456604987683,0.03593650247666097
12,14,6,0.24175202415947156,0.03371297913666971
12,14,8,0.31136402618570946,0.03209112833493172
12,14,12,0.4391980985838738,0.02980307304011176
12,14,16,0.527984642918162,0.028208776493896193
12,14,20,0.672769199948864,0.027001189272665593
12,16,2,0.14159403313571162,0.04367221396873411
12,16,4,0.1894672880243182,0.03994843469250753
12,16,6,0.2539967714089888,0.037503101070155365
12,16,8,0.3210473547479907,0.03571334372921009
12,16,12,0.41542388649980383,0.033181542161036526
12,16,16,0.5707562021452247,0.03141368692315716
12,16,20,0.6634962134892011,0.03007305800118365
16,24,2,0.15619328437530874,0.06143421973801946
16,24,4,0.22092653763997952,0.05650743467959102
16,24,6,0.2714467066864863,0.05319323662893394
16,24,8,0.33991446249163,0.05073542693858568
16,24,12,0.436575197407616,0.04722126923073211
16,24,16,0.5830850731344474,0.04474677131263005
16,24,20,0.6633441729155765,0.042861302296147374
8,10,2,0.1255395585749413,0.030864782898297624
8,10,4,0.18249548041778177,0.02810466757765759
8,10,6,0.23993688070762412,0.02632802154915978
8,10,8,0.31213595177562303,0.025041136221819082
8,10,12,0.4377142042256155,0.023235523669319302
8,10,16,0.5226990433324912,0.02198265204734806
8,10,20,0.6617725970115619,0.021035884729371457
6,7,2,0.12037243836900346,0.02469199883391368
6,7,4,0.18242462108053545,0.02242997763155216
6,7,6,0.23629033354008813,0.02098925872898111
6,7,8,0.28381194003324617,0.019951229252195835
6,7,12,0.4278805327254345,0.018500727208041023
6,7,16,0.539191437872346,0.017497379966974314
6,7,20,0.6860959818011378,0.016740470405072094
6,8,2,0.12390689674178146,0.02672918263345983
6,8,4,0.17334306720387863,0.024300169887966044
6,8,6,0.24259145396218773,0.02274757020940607
6,8,8,0.28932083056428426,0.021626941644123487
6,8,12,0.4174837364566838,0.020058886874654236
6,8,16,0.5632136093177541,0.01897310751579928
6,8,20,0.6366056478046851,0.018153548107512907
8,12,2,0.13254962154337785,0.035072913592061744
8,12,4,0.18562308299404098,0.03198625369059105
8,12,6,0.23476477013448185,0.029985775617347388
8,12,8,0.3185583660486797,0.02853166867819551
8,12,12,0.40548464907908127,0.02648584830121814
8,12,16,0.5263162733759568,0.025063330403711004
8,12,20,0.6901468154564987,0.023987117047354678
12,20,2,0.1500333874532836,0.05247220650068163
12,20,4,0.19420494219100826,0.04813471085884627
12,20,6,0.2678555332065727,0.04525079843857721
12,20,8,0.3203395391562274,0.04312587039808241
12,20,12,0.4472409985221289,0.04010370766285648
12,20,16,0.5709565338314513,0.03798454841931953
12,20,20,0.6606380723315487,0.03637368760379711
16,28,2,0.15898890513000358,0.07052981231874508
16,28,4,0.2190719115656473,0.06503815393608828
16,28,6,0.26657822767432493,0.06130319770850717
16,28,8,0.31979531920127635,0.05851605574367119
16,28,12,0.4412677960568443,0.05451029970740545
16,28,16,0.5558338899465431,0.05167790195327915
16,28,20,0.6623839077941563,0.04951455941195981
6,10,2,0.1206279935679808,0.030864782898297624
6,10,4,0.18221823138947232,0.02810466757765759
6,10,6,0.23204713209947275,0.02632802154915978
