local_bsz,gpu_memory
6,2.7663402557373047
8,3.4834232330322266
12,4.902390003204346
16,6.3233723640441895
20,7.755891799926758
24,9.163934707641602
28,10.598588943481445
32,12.015665054321289
36,13.448366165161133
40,14.856409072875977
48,17.701547622680664
