num_nodes,num_replicas,local_bsz,step_time,sync_time
6,6,6,0.17002413055204924,8.831296199607319e-07
6,6,8,0.2272213391902798,8.772025767989078e-07
6,6,12,0.3048937529072174,8.686655216250116e-07
6,6,16,0.4002607163227966,8.625249123261902e-07
6,6,20,0.5032291036383663,8.577339369875148e-07
8,8,6,0.17533608947140603,8.993006890001265e-07
8,8,8,0.21252079501306703,8.932651155146853e-07
8,8,12,0.3234058405953089,8.845717376915196e-07
8,8,16,0.41337780272565894,8.783186872807214e-07
8,8,20,0.5075197356808013,8.734399840060192e-07
12,12,6,0.16209523944381243,9.316648651169768e-07
12,12,8,0.2194025489595095,9.254120829915724e-07
12,12,12,0.3026283007654604,9.164058470956249e-07
12,12,16,0.43552465552168856,9.099277611945844e-07
12,12,20,0.5077158910473516,9.04873482476809e-07
16,16,6,0.17319955798628495,9.64057619345926e-07
16,16,8,0.21645504921540795,9.575874368172865e-07
16,16,12,0.305137560288793,9.482680665695575e-07
16,16,16,0.42659489565726444,9.415647465038646e-07
16,16,20,0.531918993812946,9.363347374113928e-07
16,20,6,0.16007634913082308,9.96478039083648e-07
16,20,8,0.2184998259025471,9.897902704669725e-07
16,20,12,0.31723684200857427,9.801574984980022e-07
16,20,16,0.4362437362281445,9.732287519215177e-07
16,20,20,0.4968706786038482,9.678228622966856e-07
12,14,6,0.1633548353851613,9.478577284172118e-07
12,14,8,0.22331091920068097,9.414962696685514e-07
12,14,12,0.3133478660609244,9.323335005695377e-07
12,14,16,0.40476423342026757,9.257428219555663e-07
12,14,20,0.5267665347802609,9.206006971185232e-07
12,16,6,0.16871774709161869,9.64057619345926e-07
12,16,8,0.22584167576461664,9.575874368172865e-07
12,16,12,0.3226166809881368,9.482680665695575e-07
12,16,16,0.42878450291889364,9.415647465038646e-07
12,16,20,0.5365410585406871,9.363347374113928e-07
16,24,6,0.1702790984069612,1.0289252688477912e-06
16,24,8,0.2218172470014233,1.0220197343702164e-06
16,24,12,0.3313766912764411,1.0120733016094619e-06
16,24,16,0.419034904801536,1.004918942060229e-06
16,24,20,0.5217132659335749,9.993370264638202e-07
8,10,6,0.17296444515450204,9.154791453525046e-07
8,10,8,0.217128361084727,9.093349919164773e-07
8,10,12,0.31883399788058786,9.00485220223235e-07
8,10,16,0.4030649966870135,8.941196772971338e-07
8,10,20,0.5210290466519021,8.891532059518426e-07
6,7,6,0.16465835103595725,8.91214223169845e-07
6,7,8,0.21247738918510395,8.852329210773391e-07
6,7,12,0.3326153412816754,8.766177135299813e-07
6,7,16,0.40762921779215006,8.704208901422206e-07
6,7,20,0.5287634263856464,8.655860559425577e-07
6,8,6,0.16996096076095202,8.993006890001265e-07
6,8,8,0.2162426784590159,8.932651155146853e-07
6,8,12,0.31331330225550497,8.845717376915196e-07
6,8,16,0.40148399186756034,8.783186872807214e-07
6,8,20,0.5013071634773567,8.734399840060192e-07
8,12,6,0.1723219668693227,9.316648651169768e-07
8,12,8,0.2262539057171112,9.254120829915724e-07
8,12,12,0.3222130577309267,9.164058470956249e-07
8,12,16,0.4296608218663031,9.099277611945844e-07
8,12,20,0.5284831059887453,9.04873482476809e-07
12,20,6,0.17501914831454685,9.96478039083648e-07
12,20,8,0.20701509611664656,9.897902704669725e-07
12,20,12,0.31361508130110577,9.801574984980022e-07
12,20,16,0.4306993631982519,9.732287519215177e-07
12,20,20,0.5286799088231694,9.678228622966856e-07
16,28,6,0.16230984666221596,1.0613985053642416e-06
16,28,8,0.21082885853749217,1.0542750303876858e-06
16,28,12,0.31995656574212156,1.044014685425143e-06
16,28,16,0.4188383348939061,1.0366345321588533e-06
16,28,20,0.5388887042793515,1.0308764497590772e-06
6,10,6,0.1719791373124676,9.154791453525046e-07
6,10,8,0.21519006594432194,9.093349919164773e-07
6,10,12,0.31440549002641704,9.00485220223235e-07
6,10,16,0.433038900963983,8.941196772971338e-07
6,10,20,0.5183528092518875,8.891532059518426e-07
8,14,6,0.16314229674437108,9.478577284172118e-07
8,14,8,0.20830463125120974,9.414962696685514e-07
8,14,12,0.3265695936950252,9.323335005695377e-07
8,14,16,0.40945696962596767,9.257428219555663e-07
8,14,20,0.5380620055200915,9.206006971185232e-07
6,12,6,0.16998175837659155,9.316648651169768e-07
6,12,8,0.21097211767983262,9.254120829915724e-07
6,12,12,0.31657163010822287,9.164058470956249e-07
6,12,16,0.4162103982869803,9.099277611945844e-07
6,12,20,0.5178806831956632,9.04873482476809e-07
8,16,6,0.17327194364109014,9.64057619345926e-07
8,16,8,0.22069877119409018,9.575874368172865e-07
8,16,12,0.3055669982925512,9.482680665695575e-07
8,16,16,0.4162746930084893,9.415647465038646e-07
8,16,20,0.5300221587808368,9.363347374113928e-07
12,24,6,0.16811836973912989,1.0289252688477912e-06
12,24,8,0.22672796032055986,1.0220197343702164e-06
12,24,12,0.3194945188973743,1.0120733016094619e-06
12,24,16,0.43366082358928043,1.004918942060229e-06
12,24,20,0.5089623240521803,9.993370264638202e-07
16,32,6,0.1764359616970507,1.0938969924600972e-06
16,32,8,0.2252025152338077,1.0865554075922823e-06
16,32,12,0.31611027490521026,1.075980906317664e-06
16,32,16,0.3956545466688067,1.068374783752546e-06
16,32,20,0.5310418008623606,1.0624403973258367e-06
12,28,6,0.17276672944591895,1.0613985053642416e-06
12,28,8,0.21397636323497682,1.0542750303876858e-06
12,28,12,0.3033150783708533,1.044014685425143e-06
12,28,16,0.4315501219457868,1.0366345321588533e-06
12,28,20,0.49775688946240293,1.0308764497590772e-06
16,40,6,0.16580763957445382,1.1589669066669472e-06
