placement,local_bsz,step_time,sync_time
1,6,0.04397077742362555,2.768618667658984e-15
1,8,0.05926283905177904,2.123301534595612e-15
1,12,0.08714824608374643,1.429412144204889e-15
1,16,0.11758792440712747,1.124100812432971e-15
1,20,0.14620085204707484,8.881784197001252e-16
11,6,0.07598928598174175,0.03531190945003667
11,8,0.09072231357907765,0.029880787554926784
11,12,0.11478220218361612,0.022538716220603244
11,16,0.1341826802907575,0.01795730438562021
11,20,0.1625707258470709,0.014884513227491902
111,6,0.08989887300973966,0.04545576566653322
111,8,0.09381914917838335,0.039126767069880754
111,12,0.11684690776026563,0.03016689089445808
111,16,0.13983599739030092,0.024328040642392162
111,20,0.15849093910942985,0.020308396432490022
1111,6,0.10322258662747806,0.05598244749303518
1111,8,0.10788776182972044,0.0488898000694026
1111,12,0.12020970769641082,0.038452646136374086
1111,16,0.1413721317213852,0.03138012165130202
1111,20,0.17516103784211431,0.026386481338198042
1112,6,0.11152587266035183,0.06678371561984425
1112,8,0.12167900298236432,0.05904174854532843
1112,12,0.13387527546552466,0.04727425943718522
1112,16,0.14857798050748344,0.03901923939408905
1112,20,0.17796422702523707,0.03304956127274436
1113,6,0.11735665834295468,0.07778720785433413
1113,8,0.12752744875031383,0.06949076584789945
1113,12,0.14537116383126153,0.05653334966544449
1113,16,0.15843693556436458,0.04716240262337215
1113,20,0.18112742033813112,0.04023319550093149
1114,6,0.13415203870817993,0.08894324364736605
1114,8,0.14278745968755002,0.08017030650482213
1114,12,0.14902699403919883,0.06615113446761495
1114,16,0.17827911138489042,0.05573781899326036
1114,20,0.19764288863995372,0.0478784961167851
112,6,0.10346148238713294,0.05598244749303518
112,8,0.1122300047611897,0.0488898000694026
112,12,0.12819138214621642,0.038452646136374086
112,16,0.1481833624058877,0.03138012165130202
112,20,0.16723625758416802,0.026386481338198042
1122,6,0.12322422346734296,0.07778720785433413
1122,8,0.13248090354755251,0.06949076584789945
1122,12,0.13718249714196495,0.05653334966544449
1122,16,0.16181441993532042,0.04716240262337215
1122,20,0.19045182406673544,0.04023319550093149
1123,6,0.1369656361583739,0.08894324364736605
1123,8,0.14329469178020213,0.08017030650482213
1123,12,0.1484334682544734,0.06615113446761495
1123,16,0.1766411874134527,0.05573781899326036
1123,20,0.19562155561057748,0.0478784961167851
1124,6,0.1379328961856797,0.10021682834128184
1124,8,0.15251774726635617,0.09103148357522958
1124,12,0.1570958093294541,0.07606472460421498
1124,16,0.18009890823928779,0.0646840927074879
1124,20,0.20000288266544847,0.055932420393411036
113,6,0.10621864903382897,0.06678371561984425
113,8,0.11483004660929455,0.05904174854532843
113,12,0.13365778883738286,0.04727425943718522
113,16,0.15372837712047302,0.03901923939408905
113,20,0.17202580123126174,0.03304956127274436
1132,6,0.13690021506823397,0.08894324364736605
1132,8,0.14267723042598232,0.08017030650482213
1132,12,0.15643842336664399,0.06615113446761495
1132,16,0.18017640676650432,0.05573781899326036
1132,20,0.20108975380906752,0.0478784961167851
1133,6,0.1403787590494709,0.10021682834128184
1133,8,0.1449787692576899,0.09103148357522958
1133,12,0.15620233193095168,0.07606472460421498
1133,16,0.18148096035833008,0.0646840927074879
1133,20,0.21016954426507525,0.055932420393411036
1134,6,0.15483885303650763,0.11158271973918088
1134,8,0.16536800058212472,0.10203784217535458
1134,12,0.18095105619297888,0.08622387374422005
1134,16,0.18394619819880864,0.07394909443341449
1134,20,0.2144908699638517,0.06434770440711204
114,6,0.11953502029552542,0.07778720785433413
114,8,0.12162972643244041,0.06949076584789945
114,12,0.15061533952499995,0.05653334966544449
114,16,0.16171168305036088,0.04716240262337215
114,20,0.18588566258194678,0.04023319550093149
1142,6,0.14226915580241373,0.10021682834128184
1142,8,0.1522588269894878,0.09103148357522958
1142,12,0.16247376168366978,0.07606472460421498
1142,16,0.1814148466062163,0.0646840927074879
1142,20,0.19487752499247768,0.055932420393411036
1143,6,0.14976631331021614,0.11158271973918088
1143,8,0.1603160157311218,0.10203784217535458
1143,12,0.18011502293836187,0.08622387374422005
1143,16,0.19005559009071898,0.07394909443341449
1143,20,0.20306478252905028,0.06434770440711204
1144,6,0.17287244784177136,0.1230223134187147
1144,8,0.17845544355566667,0.11316178882047834
1144,12,0.17764410408830086,0.09658829754203088
1144,16,0.19666374062770953,0.08348873737311674
1144,20,0.21076170286266413,0.0730825632653245
12,6,0.09127811678514297,0.04545576566653322
12,8,0.09461831382274437,0.039126767069880754
12,12,0.1212065409291421,0.03016689089445808
12,16,0.14514149016221886,0.024328040642392162
12,20,0.1639000236947106,0.020308396432490022
1212,6,0.12287905177468084,0.07778720785433413
1212,8,0.12601219018057327,0.06949076584789945
1212,12,0.15008857641610332,0.05653334966544449
1212,16,0.17123472174375198,0.04716240262337215
1212,20,0.19412130941597697,0.04023319550093149
1213,6,0.1261978396537253,0.08894324364736605
1213,8,0.14507000764691128,0.08017030650482213
1213,12,0.1464029639092675,0.06615113446761495
1213,16,0.17991671479724208,0.05573781899326036
1213,20,0.19890645940186114,0.0478784961167851
1214,6,0.13870870487342726,0.10021682834128184
1214,8,0.153290828209992,0.09103148357522958
1214,12,0.17033344201256048,0.07606472460421498
1214,16,0.18006608449172617,0.0646840927074879
1214,20,0.19513426363826172,0.055932420393411036
122,6,0.10854246533198256,0.06678371561984425
122,8,0.1221775851602073,0.05904174854532843
122,12,0.13064145067975136,0.04727425943718522
122,16,0.15796320857971832,0.03901923939408905
122,20,0.1766033423716027,0.03304956127274436
1222,6,0.1288879159244404,0.08894324364736605
1222,8,0.1396164564248061,0.08017030650482213
1222,12,0.1572201790049763,0.06615113446761495
1222,16,0.1797373537767777,0.05573781899326036
1222,20,0.2021611173974109,0.0478784961167851
1223,6,0.14500096578254387,0.10021682834128184
1223,8,0.15262514776531425,0.09103148357522958
1223,12,0.17034156612511053,0.07606472460421498
1223,16,0.17298919793139111,0.0646840927074879
1223,20,0.19832019355082192,0.055932420393411036
1224,6,0.1549361079912176,0.11158271973918088
1224,8,0.16034201842511475,0.10203784217535458
1224,12,0.17372083000610478,0.08622387374422005
1224,16,0.19522054984366932,0.07394909443341449
1224,20,0.20064787478158494,0.06434770440711204
123,6,0.12680695185658372,0.07778720785433413
123,8,0.12341819080701481,0.06949076584789945
123,12,0.15061473718235954,0.05653334966544449
123,16,0.15937962197055244,0.04716240262337215
123,20,0.17747849220250703,0.04023319550093149
1232,6,0.14707788101713062,0.10021682834128184
1232,8,0.15663652391627084,0.09103148357522958
1232,12,0.16410899219909028,0.07606472460421498
1232,16,0.18955787826481732,0.0646840927074879
1232,20,0.19975331563985474,0.055932420393411036
1233,6,0.14975392190206674,0.11158271973918088
1233,8,0.1562796713647249,0.10203784217535458
1233,12,0.1648891630675437,0.08622387374422005
1233,16,0.1831935995858769,0.07394909443341449
1233,20,0.20998773050408986,0.06434770440711204
1234,6,0.1730102046737166,0.1230223134187147
1234,8,0.16489699668875646,0.11316178882047834
1234,12,0.1883670273014909,0.09658829754203088
1234,16,0.2096680294256501,0.08348873737311674
1234,20,0.21311774222027555,0.0730825632653245
124,6,0.12837665444380633,0.08894324364736605
124,8,0.13762367882914103,0.08017030650482213
124,12,0.16101056261332047,0.06615113446761495
124,16,0.1785393397795997,0.05573781899326036
124,20,0.18476598756809637,0.0478784961167851
1242,6,0.1560273614980774,0.11158271973918088
1242,8,0.15376117532403866,0.10203784217535458
1242,12,0.1713515575560339,0.08622387374422005
1242,16,0.19766466561291887,0.07394909443341449
1242,20,0.21554068449770475,0.06434770440711204
1243,6,0.16559209093385707,0.1230223134187147
1243,8,0.17004265382035053,0.11316178882047834
1243,12,0.18857174549860373,0.09658829754203088
1243,16,0.2031836748620403,0.08348873737311674
1243,20,0.22485811940679484,0.0730825632653245
1244,6,0.183600899293909,0.13452162829825104
1244,8,0.18101049297112262,0.12438213479585686
1244,12,0.19709736169821274,0.10712553458053886
1244,16,0.19966334898681742,0.09326579502387197
1244,20,0.23557436882691038,0.08210025814931099
13,6,0.09652030392602973,0.05598244749303518
13,8,0.10537474611762396,0.0488898000694026
13,12,0.12415722548681102,0.038452646136374086
13,16,0.1461102713073338,0.03138012165130202
13,20,0.17006658656777443,0.026386481338198042
1313,6,0.1480948405099905,0.10021682834128184
1313,8,0.14386353597738075,0.09103148357522958
1313,12,0.15633821955823604,0.07606472460421498
1313,16,0.18432341934641863,0.0646840927074879
