num_nodes,num_replicas,local_bsz,step_time,sync_time
6,6,6,0.05845233649130741,9.04834778762964e-07
6,6,8,0.07603573769907213,9.043561590149629e-07
6,6,12,0.10824981487422143,9.036524020039627e-07
6,6,16,0.14276053669209474,9.031371485945794e-07
6,6,20,0.17572362319200235,9.027305110098638e-07
6,6,24,0.20094916695719642,9.023946016539774e-07
6,6,28,0.2403419974062123,9.02108439920779e-07
6,6,32,0.26514730454725927,9.018591841103429e-07
6,6,36,0.29935244360914975,9.016384001081512e-07
6,6,40,0.3382934366452138,9.014402502227625e-07
6,6,48,0.40748804099689595,9.010960926314482e-07
8,8,6,0.06089007895786997,9.263188521374532e-07
8,8,8,0.07487674997546365,9.258288683200444e-07
8,8,12,0.10876961795994916,9.251084016892452e-07
8,8,16,0.1461614018206794,9.245809142743866e-07
8,8,20,0.18050881001574975,9.241646216351374e-07
8,8,24,0.20862760535856392,9.238207366035756e-07
8,8,28,0.2400952221874222,9.235277804164888e-07
8,8,32,0.2659237075789833,9.232726063679308e-07
8,8,36,0.28922376309899744,9.230465801701726e-07
8,8,40,0.3255148069276893,9.228437254371613e-07
8,8,48,0.4179346157613455,9.2249139632683e-07
12,12,6,0.05837593156443172,9.692901827909606e-07
12,12,8,0.07425776331202905,9.68777469093074e-07
12,12,12,0.1098425051302208,9.680235806136528e-07
12,12,16,0.1350622061571545,9.674716235918979e-07
12,12,20,0.17860926714604977,9.670360194558025e-07
12,12,24,0.19488659006615514,9.666761818794e-07
12,12,28,0.23624729352211513,9.663696355910467e-07
12,12,32,0.2802307122643044,9.661026241780668e-07
12,12,36,0.2946798335569122,9.658661128120194e-07
12,12,40,0.3405089441465023,9.656538478286514e-07
12,12,48,0.4079918768861603,9.652851744035296e-07
16,16,6,0.060082864414478535,1.0122656029024069e-06
16,16,8,0.07351184229836263,1.0117301572215576e-06
16,16,12,0.10723014754226715,1.0109428437987678e-06
16,16,16,0.13555596545203952,1.0103664146998703e-06
16,16,20,0.17389215824743312,1.009911497290572e-06
16,16,24,0.19895362633193284,1.0095357055595056e-06
16,16,28,0.242122696303806,1.0092155680596626e-06
16,16,32,0.26408838718318717,1.0089367182275488e-06
16,16,36,0.2994821138206027,1.0086897205829892e-06
16,16,40,0.33108985005463554,1.008468044461086e-06
16,16,48,0.40457735817444207,1.0080830252223727e-06
16,20,6,0.06021461532813195,1.0552449395129226e-06
16,20,8,0.07467341932261733,1.0546867597049925e-06
16,20,12,0.10416710785386182,1.0538660182857207e-06
16,20,16,0.13352926537221246,1.0532651149863792e-06
16,20,20,0.16458594336458707,1.0527908824442544e-06
16,20,24,0.2050537648867821,1.0523991352817674e-06
16,20,28,0.23925314967308337,1.0520654051549005e-06
16,20,32,0.26166668706156804,1.0517747158211854e-06
16,20,36,0.2923268974501851,1.0515172311209575e-06
16,20,40,0.3406731101726943,1.0512861429723408e-06
16,20,48,0.38390960175629407,1.0508847763102125e-06
12,14,6,0.05986915808475023,9.907773928577446e-07
12,14,8,0.07220398410776455,9.902533133765434e-07
12,14,12,0.109833438405705,9.894827128070771e-07
12,14,16,0.14056378912398346,9.889185200451234e-07
12,14,20,0.1720584795447448,9.884732594667156e-07
12,14,24,0.19552640671599986,9.881054450489035e-07
12,14,28,0.22861426961444384,9.877921032797055e-07
12,14,32,0.2792474329680341,9.87519172823692e-07
12,14,36,0.2982040166125672,9.872774184294109e-07
12,14,40,0.3261740269984266,9.870604479877976e-07
12,14,48,0.39518857872841157,9.866836018224134e-07
12,16,6,0.061052508679592256,1.0122656029024069e-06
12,16,8,0.07729324542441814,1.0117301572215576e-06
12,16,12,0.10893869366412748,1.0109428437987678e-06
12,16,16,0.13628211973446916,1.0103664146998703e-06
12,16,20,0.17279293395543147,1.009911497290572e-06
12,16,24,0.20355525611639252,1.0095357055595056e-06
12,16,28,0.23682686908049083,1.0092155680596626e-06
12,16,32,0.2765472558226828,1.0089367182275488e-06
12,16,36,0.3152637120656115,1.0086897205829892e-06
12,16,40,0.33357732111559496,1.008468044461086e-06
12,16,48,0.3986367014142571,1.0080830252223727e-06
16,24,6,0.05900275247831775,1.098228033631632e-06
16,24,8,0.07433375484109976,1.0976471177814862e-06
16,24,12,0.11143487101701734,1.096792945451397e-06
16,24,16,0.14131169769147664,1.0961675658005543e-06
16,24,20,0.17348104737413864,1.0956740165712908e-06
16,24,24,0.19615117694942225,1.0952663123953155e-06
16,24,28,0.2407367055484094,1.0949189885867128e-06
16,24,32,0.26401361426654624,1.0946164586411733e-06
16,24,36,0.2894286667421957,1.0943484858305652e-06
16,24,40,0.34920477643526004,1.0941079848225677e-06
16,24,48,0.41844471421338164,1.0936902694047568e-06
8,10,6,0.059043485041107256,9.478039948926376e-07
8,10,8,0.07709613883151657,9.473026463813206e-07
8,10,12,0.10476885822420881,9.465654692147885e-07
8,10,16,0.1362721255184807,9.460257473503653e-07
8,10,20,0.16929098132634912,9.455997991847376e-07
8,10,24,0.20209179929524604,9.452479380611667e-07
8,10,28,0.247803422749605,9.449481869761023e-07
8,10,32,0.2754345717838279,9.446870944396224e-07
8,10,36,0.3107408608931364,9.444558257132307e-07
8,10,40,0.3480439559005491,9.442482660215745e-07
8,10,48,0.41469246874635274,9.43887764948137e-07
6,7,6,0.055975124469386996,9.155766802354526e-07
6,7,8,0.07126114659178033,9.15092378525606e-07
6,7,12,0.11211141424132387,9.143802667810341e-07
6,7,16,0.14453513358517084,9.138588965007521e-07
6,7,20,0.170547018983761,9.134474314165253e-07
6,7,24,0.19770408711590615,9.131075342783124e-07
